SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,5522 Walnut St,Oakland,CA,94605,485000,3,1.0,Oakland,1279,3225,1927,22,379,,Active,,,http://www.redfin.com/CA/Oakland/5522-Walnut-St-94605/home/1096664,Bridge MLS,40847906,N,Y,37.7741175,-122.1927635
MLS Listing,,Multi-Family (2-4 Unit),9701 Walnut St,Oakland,CA,94603,899990,8,4.0,Oakland,,7500,1920,22,,,Active,,,http://www.redfin.com/CA/Oakland/9701-Walnut-St-94603/home/1856252,MetroList,18080765,N,Y,37.745953,-122.169136
MLS Listing,,Single Family Residential,132 Frisbie St,Oakland,CA,94611,749000,3,1.0,Echo/Glen Park,1320,3150,1927,22,567,,Active,,,http://www.redfin.com/CA/Oakland/132-Frisbie-St-94611/home/525903,Bridge MLS,40847893,N,Y,37.8187506,-122.2590745
MLS Listing,,Single Family Residential,714 33rd St,OAKLAND,CA,94609,699000,3,2.0,OAKLAND,1200,3000,1904,22,583,,Active,,,http://www.redfin.com/CA/Oakland/714-33rd-St-94609/home/525744,MLSListings,ML81733019,N,Y,37.8233085,-122.2720571
MLS Listing,,Single Family Residential,1252 E 34Th St,Oakland,CA,94610,595000,2,1.0,Baja Glenview,1047,4788,1918,22,568,,Active,,,http://www.redfin.com/CA/Oakland/1252-E-34th-St-94610/home/1802736,Bridge MLS,40847886,N,Y,37.8022691,-122.2327944
MLS Listing,,Condo/Co-op,466 Crescent St #115,Oakland,CA,94610,699000,3,2.0,Alameda County,1180,42488,1971,22,592,431,Active,,,http://www.redfin.com/CA/Oakland/466-Crescent-St-94610/unit-115/home/526472,BAREIS,21830566,N,Y,37.8133239,-122.2497277
MLS Listing,,Condo/Co-op,398 Adams St #207,Oakland,CA,94610,710000,2,2.0,Adams Point,1355,,1966,23,524,468,Active,December-30-2018 02:00 PM,December-30-2018 04:00 PM,http://www.redfin.com/CA/Oakland/398-Adams-St-94610/unit-207/home/525843,Bridge MLS,40847860,N,Y,37.815313,-122.253772
MLS Listing,,Multi-Family (2-4 Unit),3338 San Leandro St,Oakland,CA,94601,749000,3,2.0,Fruitvale,1890,2080,,23,396,,Active,,,http://www.redfin.com/CA/Oakland/3338-San-Leandro-St-94601/home/133474072,Bridge MLS,40847851,N,Y,37.7746761,-122.2252044
MLS Listing,,Single Family Residential,1406 Fairview St,Berkeley,CA,94702,799000,3,1.0,Berkeley,1545,3996,1906,23,517,,Active,,,http://www.redfin.com/CA/Berkeley/1406-Fairview-St-94702/home/652567,Bridge MLS,40847819,N,Y,37.8492143,-122.2795003
MLS Listing,,Single Family Residential,433 Hale Ave,Oakland,CA,94603,499000,3,2.0,Brookfield Villg,1303,5000,1951,23,383,,Active,,,http://www.redfin.com/CA/Oakland/433-Hale-Ave-94603/home/1937232,Bridge MLS,40847813,N,Y,37.7329293,-122.1810572
